# acf_x acf_y acf_t
0.586587 0.599887 0.396459
0.599433 0.607736 0.396231
0.612140 0.613595 0.395980
0.624676 0.620373 0.395708
0.637259 0.627824 0.395395
0.649422 0.635027 0.395088
0.661511 0.640075 0.394729
0.673388 0.648168 0.394336
0.685134 0.652980 0.393939
0.696709 0.658934 0.393505
0.707973 0.664973 0.393052
0.719302 0.670806 0.392574
0.730266 0.676961 0.392032
0.741126 0.681392 0.391500
